S. No.,Emp ID,BU,Current Grade,Current Band Equivalence,Designation,Unique Job,Hay Score,Job Family/ Function mapping (as per finalised list) ,Sub Job Family,Department Group,Department,AA Emp. Code,Functional Emp. Code,Current CTC (in lakhs)
233,AB244,HO,L2B,L4,Assistant General Manager,"Lead-Business Planning, MIS (Corp)",551,Finance & Accounts,MIS & Costing,Finance & Accounts,Finance & Accounts,AB230,AB230,33.66
282,AB293,HO,L1C,L4,General manager,Head-Corporate Affairs,611,HR & Admin.,Corporate Affairs & Liaison,HR & Admin.,HR & Admin.,AB289,AB289,54.00
388,AB399,HO,L2B,L4,Assistant General Manager,Lead-Process Engineering ,466,Innovation & Technology,Process Engineering,Innovation & Technology,Process Engineering,AB404,AB404,40.82
393,AB404,HO,L1C,L4,General Manager,Group Lead-Process Engineering,732,Innovation & Technology,Process Engineering,Innovation & Technology,Innovation & Technology,AB338,AB338,36.48
408,AB419,BU-B,L2B,L4,Asst. General Manager-Op,Site Head-BU-B,732,Operations,Operations,Operations,Operations,AB1040,AB1040,34.43
424,AB435,HO,L2B,L4,Assistant General Manager,Team Lead-IT Software,406,IT Services,IT Software,IT Services,IT Services,AB444,AB444,35.20
433,AB444,HO,L2A,L4,Deputy General Manager,Head-Information Technology Services,677,IT Services,IT Services,IT Services,IT Services,AB449,AB449,36.02
445,AB456,HO,L1C,L4,Company Secretary,Company Secretary,775,Legal & Secretarial,Legal & Secretarial,Legal & Secretarial,Legal & Secretarial,AB229,AB229,63.09
465,AB476,BU-C,L2B,L4,Assistant General Manager,Lead-Sales & Marketing- BU-C,438,Marketing & Product Management,Sales & Marketing,Marketing/ BD/ Product Management,Sales & Marketing,AB1118,AB1118,39.39
510,AB521,BU-A,L2A,L4,Deputy General Manager,Site Lead-Safety & Health - BU-A,393,Operational Excellence,Safety & Health,Operational Excellence,Safety & Health,AB577,AB577,37.50
558,AB569,HO,L2A,L4,Deputy General Manager,Head-Environment ,571,Operational Excellence,Environment,Operational Excellence,Environment,AB568,AB568,42.87
561,AB572,HO,L2A,L4,Deputy General Manager,COE-Utility & Energy,496,Operational Excellence,Sustainability & Excellence,Operational Excellence,Operational Excellence,AB568,AB568,44.32
563,AB574,HO,L2A,L4,Deputy General Manager,COE-Process Excellence,496,Operational Excellence,Sustainability & Excellence,Operational Excellence,Operational Excellence,AB568,AB494,34.50
564,AB575,HO,L1C,L4,General Manager,Head-Safety & Health,571,Operational Excellence,Safety & Health,Operational Excellence,Safety & Health,AB568,AB568,47.50
567,AB578,BU-A,L2B,L4,Assistant General Manager,Head-Operations - BU-A,666,Operations,Operations,Operations,Operations,AB577,AB577,35.48
914,AB925,BU-C,L2B,L4,Assistant General Manager,Head-Operations-BU-C,564,Operations,Operations,Operations,Operations,AB966,AB1118,47.44
955,AB966,BU-C,L1C,L4,General Manager,Unit Head-BU-B,766,Operations,Operations,Operations,Operations,AB1118,AB494,39.53
980,AB991,BU-C,L2A,L4,Deputy General Manager,Unit Head-BU-C,666,Operations,Operations,Operations,Operations,AB1118,AB494,33.80
"1,196",AB1207,HO,L1C,L4,General Manager,Lead-Strategy,406,Strategy,Strategy,Strategy,Strategy,AB1210,AB1210,57.89
"1,197",AB1208,HO,L2B,L4,Assistant General Manager,Lead-Strategy,406,Strategy,Strategy,Strategy,Strategy,AB1210,AB1210,36.05
"1,266",AB1277,HO,L1C,L4,General Manager,Head-Commercial,677,Supply Chain Management,Commercial,Supply Chain Management,Commercial,AB229,AB229,51.62
12,AB023,BU-B,M1,L5,Chief Manager,Plant In-charge - BU-B,381,Operations,Production,Operations,Operations,AB966,AB1118,27.02
18,AB029,BU-A,M2,L5,Senior Manager,Lead - Electrical/ Instrumentation,344,Engineering,Electrical Engineering,Engineering,Engineering,AB030,AB030,23.50
19,AB030,BU-A,M1,L5,Chief Manager,Head-Engineering & Maintenance,496,Engineering,Engineering Leadership,Engineering,Engineering,AB577,AB577,25.75
118,AB129,BU-C,M2,L5,Senior Manager,Lead-Preventive Maintenance,344,Engineering,Preventive Maintenance,Engineering,Engineering,AB966,AB1118,29.26
127,AB138,BU-C,M1,L5,Chief Manager,Head-Engineering & Maintenance,496,Engineering,Engineering Leadership,Engineering,Engineering,AB966,AB1118,23.50
183,AB194,BU-C,M1,L5,Chief Manager,Head-Engineering & Maintenance,496,Engineering,Engineering Leadership,Engineering,Engineering,AB991,AB1118,26.60
216,AB227,BU-B,M1,L5,Chief Manager - Engg,Head-Engineering & Maintenance,496,Engineering,Engineering Leadership,Engineering,Engineering,AB419,AB419,22.00
223,AB234,BU-A,M2,L5,Senior Manager,Site Lead-Finance & accounts (Large),551,Finance & Accounts,Finance & Accounts,Finance & Accounts,Finance & Accounts,AB577,AB230,27.84
229,AB240,BU-B,M2,L5,Senior Manager,Lead- MIS & Costing,333,Finance & Accounts,MIS & Costing,Finance & Accounts,Finance & Accounts,AB241,AB241,27.61
230,AB241,BU-B,M1,L5,Chief Manager,Cluster Lead-Finance & accounts BU-B,496,Finance & Accounts,Finance & Accounts,Finance & Accounts,Finance & Accounts,AB1040,AB230,39.42
232,AB243,HO,M2,L5,Senior Manager,Lead-Taxation ,496,Finance & Accounts,Accounts & Taxation,Finance & Accounts,Finance & Accounts,AB230,AB230,21.40
234,AB245,BU-A,M1,L5,Chief Manager,Lead-Business Finance- BU-A,496,Finance & Accounts,Finance & Treasury,Finance & Accounts,Finance & Accounts,AB1119,AB230,30.27
237,AB248,HO,M1,L5,Chief Manager,Internal Auditor,496,Finance & Accounts,Audit,Finance & Accounts,Finance & Accounts,AB230,AB230,35.16
238,AB249,BU-B,M2,L5,Senior Manager,Lead-Business Finance- BU-A,496,Finance & Accounts,Finance & Treasury,Finance & Accounts,Finance & Accounts,AB244,AB244,21.17
242,AB253,BU-C,M2,L5,Senior Manager,Site Lead-Finance & accounts (Small),438,Finance & Accounts,Finance & Accounts,Finance & Accounts,Finance & Accounts,AB991,AB1118,30.26
266,AB277,HO,M2,L5,Senior Manager,Finance Executive,247,Finance & Accounts,Finance & Accounts,Finance & Accounts,Finance & Accounts,AB230,AB230,33.89
283,AB294,BU-A,M1,L5,Chief Manager,Site Lead-HR & Admin. (Unit HR Head),496,HR & Admin.,HR & Admin.,HR & Admin.,HR & Admin.,AB577,AB292,23.58
284,AB295,BU-C,M2,L5,Senior Manager,Site Lead-HR & Admin. (Unit HR Head),496,HR & Admin.,HR & Admin.,HR & Admin.,HR & Admin.,AB966,AB1118,22.00
285,AB296,HO,M2,L5,Senior Manager,Lead-Learning & Development-CRP,466,HR & Admin.,Talent Management and L&OD,HR & Admin.,HR & Admin.,AB290,AB290,21.19
287,AB298,BU-C,M2,L5,Senior Manager,Site Lead-HR & Admin. (Unit HR Head),496,HR & Admin.,HR & Admin.,HR & Admin.,HR & Admin.,AB991,AB1118,31.74
288,AB299,HO,M1,L5,Chief Manager,Lead-Administration,323,HR & Admin.,Security & Administration,HR & Admin.,HR & Admin.,AB289,AB289,28.08
302,AB313,BU-A,M1,L5,Chief Manager ,Site Lead-Administration & Security,291,HR & Admin.,Security & Administration,HR & Admin.,HR & Admin.,AB577,AB291,25.56
344,AB355,HO,M2,L5,Senior Manager,Team Leader-R&D-Synthesis,451,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB406,AB406,17.50
345,AB356,HO,M2,L5,Senior Manager,Team Leader-R&D-Synthesis,451,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB407,AB407,24.00
346,AB357,HO,M1,L5,#N/A,Team Leader-R&D-Piloting & Process Engineering,451,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB408,AB408,32.99
385,AB396,HO,M2,L5,Senior Manager,Lead-Technology Development (PERI),466,Innovation & Technology,Technology Development-PERI,Innovation & Technology,Technology Development-PERI,AB402,AB402,25.47
387,AB398,HO,M2,L5,Senior Manager,Lead-Process Engineering ,466,Innovation & Technology,Process Engineering,Innovation & Technology,Process Engineering,AB404,AB404,31.72
389,AB400,HO,M2,L5,Senior Manager,Lead-Outsourcing,291,Innovation & Technology,Process Engineering,Innovation & Technology,Process Engineering,AB404,AB404,17.87
411,AB422,HO,M2,L5,Senior Manager,Lead-Process Engineering ,466,Innovation & Technology,Process Engineering,Innovation & Technology,Process Engineering,AB403,AB338,21.55
425,AB436,HO,M1,L5,Chief Manager,Team Lead-IT Infrastructure,406,IT Services,IT Infrastructure,IT Services,IT Services,AB444,AB444,34.45
430,AB441,HO,M2,L5,Senior Manager,Team Lead-IT Infrastructure,406,IT Services,IT Infrastructure,IT Services,IT Services,AB436,AB436,15.79
434,AB445,HO,M2,L5,Senior Manager,ERP Functional,252,IT Services,IT Software,IT Services,IT Services,AB435,AB435,19.98
440,AB451,HO,M2,L5,Senior Manager,Lead-Legal/ Lead-Commercial Laws,406,Legal & Secretarial,Legal & Secretarial,Legal & Secretarial,Legal & Secretarial,AB456,AB456,23.50
441,AB452,HO,M2,L5,Senior Manager,Lead-Legal/ Lead-Commercial Laws,406,Legal & Secretarial,Legal & Secretarial,Legal & Secretarial,Legal & Secretarial,AB456,AB456,21.83
447,AB458,BU-A,M2,L5,Senior Manager,Sales Manager - BU-A,421,Marketing & Product Management,Sales & Marketing,Marketing/ BD/ Product Management,Sales & Marketing,AB480,AB480,21.09
456,AB467,BU-A,M1,L5,Chief Manager,Sales Manager - BU-A,421,Marketing & Product Management,Sales & Marketing,Marketing/ BD/ Product Management,Sales & Marketing,AB480,AB480,27.01
458,AB469,BU-A,M2,L5,Senior Manager,Sales Manager - BU-A,421,Marketing & Product Management,Sales & Marketing,Marketing/ BD/ Product Management,Sales & Marketing,AB480,AB480,25.83
459,AB470,BU-C,M2,L5,Senior Manager,Product Manager- BU-C,432,Marketing & Product Management,Product Management,Marketing/ BD/ Product Management,Product Management,AB1118,AB1118,21.28
460,AB471,BU-C,M1,L5,Chief Manager,Product Manager- BU-C,432,Marketing & Product Management,Product Management,Marketing/ BD/ Product Management,Product Management,AB1118,AB1118,17.00
462,AB473,BU-A,M2,L5,Senior Manager,Product Manager- BU-A,381,Marketing & Product Management,Product Management,Marketing/ BD/ Product Management,Product Management,AB480,AB480,26.34
471,AB482,BU-A,M1,L5,Chief Manager,Head-Business Development - BU-A,579,Marketing & Product Management,Business Development,Marketing/ BD/ Product Management,Business Development,AB1119,AB494,33.00
482,AB493,HO,M2,L5,Senior Manager,Executive Assistant (to Director & TM0 Leaders),393,MD's Office,MD's Office,MD's Office,MD's Office,AB494,AB494,36.74
484,AB495,BU-A,M1,L5,Chief Manager ,Lead-Process Safety,333,Operational Excellence,Safety & Health,Operational Excellence,Safety & Health,AB577,AB577,21.15
486,AB497,BU-C,M2,L5,Senior Manager,Site Lead-Technical services,466,Operational Excellence,Technical Services,Operational Excellence,Technical Services,AB577,AB577,24.02
517,AB528,BU-C,M2,L5,Senior Manager,Site Lead-Technical services,466,Operational Excellence,Technical Services,Operational Excellence,Technical Services,AB966,AB1118,39.34
523,AB534,BU-C,M2,L5,Senior Manager,Site Lead-Safety & Health - BU-C,333,Operational Excellence,Safety & Health,Operational Excellence,Safety & Health,AB966,AB1118,20.98
537,AB548,BU-C,M2,L5,Senior Manager,Site Lead-Safety & Health - BU-C,333,Operational Excellence,Safety & Health,Operational Excellence,Safety & Health,AB991,AB1118,18.90
552,AB563,BU-B,M1,L5,Chief Manager,"Cluster Lead-Safety, Health & Environment",372,Operational Excellence,Safety & Health/ Environment,Operational Excellence,"Safety, Health, Environment",AB1040,AB1040,31.00
553,AB564,HO,M2,L5,Senior Manager,Lead-Production Planning & Inventory Control (PPIC),393,Operational Excellence,Production Planning & Inventory Control (PPIC),Operational Excellence,Operational Excellence,AB568,AB568,31.58
556,AB567,HO,M2,L5,Deputy Manager,Lead Environment and Compliance ,353,Operational Excellence,Environment,Operational Excellence,Environment,AB409,AB409,13.85
964,AB975,BU-B,M1,L5,Chief Manager,Site Head-BU-B,732,Operations,Operations,Operations,Operations,AB1040,AB1040,20.91
981,AB992,BU-C,M1,L5,Chief Manager,Head-Production-BU-C,438,Operations,Operations,Operations,Operations,AB991,AB1118,22.44
"1,032",AB1043,BU-B,M1,L5,Chief Manager,Head-Production,438,Operations,Operations,Operations,Operations,AB419,AB419,31.50
"1,109",AB1120,BU-A,M1,L5,Executive Assistant to President-BI,Executive Assistant (to TM1 Leaders),353,Operations,Operations,Operations,Operations,AB1119,AB1119,36.24
"1,157",AB1168,BU-C,M2,L5,Senior Manager,Site Lead-QA/QC,479,QA/QC,QA/QC,QA/QC,Quality Control,AB966,AB1118,28.14
"1,163",AB1174,BU-B,M2,L5,Senior Manager,Site Lead-QA/QC,479,QA/QC,QA/QC,QA/QC,Quality Control,AB975,AB975,30.62
"1,181",AB1192,BU-B,M1,L5,Chief Manager,Site Lead-QA/QC,479,QA/QC,QA/QC,QA/QC,Quality Control,AB419,AB419,26.51
"1,200",AB1211,BU-A,M2,L5,Senior Manager ,Lead-Exports and Inbound Logistics,284,Supply Chain Management,Logistics,Supply Chain Management,Supply Chain Management,AB577,AB1277,22.28
"1,236",AB1247,BU-C,M1,L5,Chief Manager,Site Lead-Commercial,344,Supply Chain Management,Commercial,Supply Chain Management,Commercial,AB966,AB1118,36.19
"1,264",AB1275,HO,M2,L5,Senior Manager,Lead-Commercial & Logistics,383,Supply Chain Management,Commercial,Supply Chain Management,Commercial,AB1277,AB1277,15.43
"1,275",AB1286,HO,M1,L5,Chief Manager,Team Leader-R&D-Synthesis,451,Innovation & Technology,Research & Development,Technology,Research & Development,AB406,AB406,30.00
1,AB012,BU-B,M4,L6,Deputy Manager,Plant In-charge - BU-B,381,Operations,Production,Operations,Operations,AB1042,AB1042,12.05
3,AB014,BU-B,M4,L6,Deputy Manager,Plant In-charge - BU-B,381,Operations,Production,Operations,Operations,AB1042,AB1042,15.16
4,AB015,BU-B,M4,L6,Deputy Manager,Plant In-charge - BU-B,381,Operations,Production,Operations,Operations,AB1042,AB1042,12.04
5,AB016,BU-B,M4,L6,Deputy Manager,Plant In-charge - BU-B,381,Operations,Production,Operations,Operations,AB1042,AB1042,14.54
6,AB017,BU-B,M4,L6,Deputy Manager,Plant In-charge - BU-B,381,Operations,Production,Operations,Operations,AB1042,AB1042,13.82
8,AB019,BU-A,M3,L6,Manager,Plant In-charge - BU-A,432,Operations,Production,Operations,Operations,AB578,AB578,18.27
9,AB020,BU-A,M3,L6,Manager,Plant In-charge - BU-A,432,Operations,Production,Operations,Operations,AB578,AB019,17.84
10,AB021,BU-A,M4,L6,Deputy Manager,Plant In-charge - BU-A,432,Operations,Production,Operations,Operations,AB578,AB019,12.07
11,AB022,BU-C,M4,L6,Deputy Manager,Section Incharge - Production,353,Operations,Operations,Operations,Operations,AB925,AB925,16.32
14,AB025,BU-C,M3,L6,Manager,Section Incharge - Production,353,Operations,Operations,Operations,Operations,AB925,AB925,32.62
15,AB026,HO,M3,L6,Manager,Lead-Corporate Communications,323,Corporate Communications,Corporate Communications,Corporate Communications,Corporate Communications,AB027,AB027,17.36
17,AB028,BU-A,M3,L6,Manager,Section In charge- Electrical,284,Engineering,Electrical Engineering,Engineering,Engineering,AB029,AB029,14.45
20,AB031,BU-A,M3,L6,Manager ,Lead-MIQA (Mechanical Integrity & Quality Assurance),333,Engineering,MIQA,Engineering,Engineering,AB030,AB030,18.73
21,AB032,BU-A,M3,L6,Manager,Lead-Utilities,344,Engineering,Utilities Engineering,Engineering,Engineering,AB030,AB030,19.99
22,AB033,BU-A,M4,L6,Deputy Manager,Section In charge- Utilities,284,Engineering,Utilities Engineering,Engineering,Engineering,AB032,AB032,15.85
27,AB038,BU-A,M4,L6,Deputy Manager,Lead- Capex & Documentation,333,Engineering,CAPEX & MOC,Engineering,CAPEX & MOC,AB030,AB030,16.92
30,AB041,BU-A,M4,L6,Deputy Manager,Section In charge- Electrical,284,Engineering,Electrical Engineering,Engineering,Engineering,AB029,AB029,12.52
31,AB042,BU-A,M4,L6,Deputy Manager,Section In charge- Instrumentation,284,Engineering,Instrumentation Engineering,Engineering,Engineering,AB103,AB103,13.87
34,AB045,BU-A,M4,L6,Deputy Manager,Section In charge- Mechanical,284,Engineering,Mechanical Engineering,Engineering,Engineering,AB030,AB030,16.37
35,AB046,BU-A,M4,L6,Deputy Manager,Section In charge- Mechanical,284,Engineering,Mechanical Engineering,Engineering,Engineering,AB030,AB030,16.23
40,AB051,BU-A,M4,L6,Deputy Manager,Section In charge- Utilities,284,Engineering,Utilities Engineering,Engineering,Engineering,AB032,AB032,12.61
92,AB103,BU-A,M3,L6,Manager ,Lead - Electrical/ Instrumentation,344,Engineering,Electrical Engineering,Engineering,Engineering,AB030,AB030,13.80
125,AB136,BU-C,M4,L6,Deputy Manager,Lead-Mechanical,344,Engineering,Mechanical Engineering,Engineering,Engineering,AB138,AB966,13.60
141,AB152,BU-B,M4,L6,Deputy Manager,Lead-Utilities,344,Engineering,Utilities Engineering,Engineering,Engineering,AB975,AB975,14.27
146,AB157,BU-C,M3,L6,Manager,Lead-Preventive Maintenance,344,Engineering,Preventive Maintenance,Engineering,Engineering,AB991,AB1118,20.14
147,AB158,BU-C,M4,L6,Deputy Manager,Lead - Electrical/ Instrumentation,344,Engineering,Electrical Engineering,Engineering,Engineering,AB194,AB194,11.25
149,AB160,BU-C,M4,L6,Deputy Manager,Lead-Mechanical,344,Engineering,Mechanical Engineering,Engineering,Engineering,AB194,AB991,13.12
150,AB161,BU-C,M4,L6,Deputy Manager,Section In charge- Mechanical,284,Engineering,Mechanical Engineering,Engineering,Engineering,AB992,AB991,10.06
156,AB167,BU-C,M4,L6,Deputy Manager,Lead-Mechanical,344,Engineering,Mechanical Engineering,Engineering,Engineering,AB194,AB991,14.8
184,AB195,BU-B,M3,L6,Manager ,Lead-Mechanical,344,Engineering,Mechanical Engineering,Engineering,Engineering,AB227,AB227,21.0
221,AB232,HO,M3,L6,Manager,Lead-Finance & Treasury,634,Finance & Accounts,Finance & Treasury,Finance & Accounts,Finance & Accounts,AB230,AB230,20.2
224,AB235,BU-A,M3,L6,Manager,Lead Accounts & Taxation,353,Finance & Accounts,Accounts & Taxation,Finance & Accounts,Finance & Accounts,AB234,AB234,26.1
225,AB236,BU-C,M3,L6,Manager,Lead Accounts & Taxation,353,Finance & Accounts,Accounts & Taxation,Finance & Accounts,Finance & Accounts,AB237,AB966,17.5
227,AB238,BU-B,M3,L6,Manager,Lead Accounts & Taxation,353,Finance & Accounts,Accounts & Taxation,Finance & Accounts,Finance & Accounts,AB241,AB241,19.9
228,AB239,BU-B,M3,L6,Manager,Lead Accounts & Taxation,353,Finance & Accounts,Accounts & Taxation,Finance & Accounts,Finance & Accounts,AB241,AB241,20.0
231,AB242,BU-C,M3,L6,Manager,Lead Accounts & Taxation,353,Finance & Accounts,Accounts & Taxation,Finance & Accounts,Finance & Accounts,AB253,AB991,17.0
236,AB247,BU-B,M4,L6,Deputy Manager,Site Lead-Environment,333,Operational Excellence,Environment,Operational Excellence,Environment,AB563,AB563,11.8
239,AB250,BU-A,M3,L6,Manager,Lead- MIS & Costing,333,Finance & Accounts,MIS & Costing,Finance & Accounts,Finance & Accounts,AB234,AB234,18.1
240,AB251,BU-C,M4,L6,Deputy Manager,Lead- MIS & Costing,333,Finance & Accounts,MIS & Costing,Finance & Accounts,Finance & Accounts,AB237,AB966,16.0
241,AB252,BU-C,M4,L6,Deputy Manager,Lead- MIS & Costing,333,Finance & Accounts,MIS & Costing,Finance & Accounts,Finance & Accounts,AB253,AB991,13.4
248,AB259,BU-B,M4,L6,Deputy Manager,Site Lead-Environment,333,Operational Excellence,Environment,Operational Excellence,Environment,AB563,AB563,14.7
270,AB281,HO,M4,L6,Deputy Manager,Accounts Executive,247,Finance & Accounts,Finance & Accounts,Finance & Accounts,Finance & Accounts,AB231,AB231,17.5
272,AB283,HO,M3,L6,Manager,Lead-Accounts,353,Finance & Accounts,Finance & Accounts,Finance & Accounts,Finance & Accounts,AB231,AB231,13.3
286,AB297,HO,M4,L6,Deputy Manager,Lead-Learning & Development-CRP,466,HR & Admin.,Talent Management and L&OD,HR & Admin.,HR & Admin.,AB290,AB290,15.1
289,AB300,BU-A,M4,L6,Deputy Manager,Lead-Industrial Relations & Compliance Management,323,HR & Admin.,HR Operations & IR,HR & Admin.,HR & Admin.,AB294,AB294,13.6
291,AB302,HO,M3,L6,Manager,Lead-Talent Acquisition- CRP,342,HR & Admin.,Talent Acquisition,HR & Admin.,HR & Admin.,AB290,AB290,23.0
292,AB303,HO,M4,L6,Deputy Manager,Lead-Corporate Affairs & Liaison,323,HR & Admin.,Corporate Affairs & Liaison,HR & Admin.,HR & Admin.,AB293,AB293,15.9
293,AB304,HO,M3,L6,Manager,Human Resource Business Partner (Corp),323,HR & Admin.,HR Operations & IR,HR & Admin.,HR & Admin.,AB292,AB292,20.0
303,AB314,BU-C,M4,L6,Deputy Manager,Lead-Payroll & Benefits ,291,HR & Admin.,HR Operations & IR,HR & Admin.,HR & Admin.,AB298,AB991,12.0
304,AB315,HO,M4,L6,Deputy Manager,Lead-Payroll & Benefits ,291,HR & Admin.,HR Operations & IR,HR & Admin.,HR & Admin.,AB292,AB292,31.3
305,AB316,HO,M4,L6,Deputy Manager,Lead-Payroll & Benefits ,291,HR & Admin.,HR Operations & IR,HR & Admin.,HR & Admin.,AB292,AB292,8.6
313,AB324,BU-A,M4,L6,Deputy Manager ,Section Incharge Security,240,HR & Admin.,Security & Administration,HR & Admin.,HR & Admin.,AB313,AB313,16.4
335,AB346,HO,M3,L6,Manager,Team Leader-R&D-Synthesis,451,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB405,AB405,22.1
342,AB353,HO,M4,L6,Deputy Manager,Team Leader-R&D-Synthesis,451,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB405,AB405,17.0
343,AB354,HO,M4,L6,Deputy Manager,Team Leader-R&D-Synthesis,451,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB405,AB405,17.8
349,AB360,HO,M4,L6,#N/A,Team Leader-R&D-Analytical,451,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB409,AB409,13.9
354,AB365,HO,M4,L6,Deputy Manager,Synthesis Researcher- R&D,245,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB353,AB353,15.0
